#,Internal Name,Name,Phone,Fax,After Hrs Phone,Address,City,County,State,Zip,Operations Manager,Operations Manager2,Kids' Dentistry OM,RM,RD,SRM,SRM,SRM,SRD,SRD,RP/RVP,TP,Region Name,Professional Corporation,Tax ID,Open Date,Epic Go Live Date
207,Beaumont,Beaumont Smiles Dentistry,(951)769-9131,(951)845-8480,,"1620 2nd St Marketplace, Ste A",Beaumont,Riverside,CA,92223,,,,Chamath Siriwardena,,,,,Ashley Quezada,,Kimberly Valko,Maha Said-Shariff,Inland Desert Region,Sanaz Khaleghi Dental Corporation,26-3444469,11/20/2008,4/4/2022
208,Henderson 9 HC,PDS Medical Group Union Village,(702)359-7403,(702)765-4748,,"1135 Vitality Dr, Ste 120",Henderson,Clark,NV,89011,,Stephanie Garcia,,Lauren McPherson,Moawyah Arikat,,,,,,Catherine Wild,Maha Said-Shariff,South Las Vegas Region,Union Village Medical Group,,7/13/2021,7/12/2021
209,Brentwood 1,Brentwood Smiles Dentistry,(925)513-8363,(925)513-7508,,"6660 Lone Tree Way, Ste 7",Brentwood,Contra Costa,CA,94513,Anthony Rodriguez,,,Jessica Rubio,,Robert Bengtson,,,,,Toreano Norris,Nicholas D'Amico,Northern CA - Bay Area Region,Mokbil and Taha Dental Corporation,45-5077754,6/26/2012,2/7/2022
210,Elk Grove 3,My Kid's Dentist,(916)714-2543,(916)885-1391,,"9630 Bruceville Rd., Ste 102",Elk Grove,Sacramento,CA,95757,Erika Lopez,,Erika Lopez,Tess Franklin,,Melissa Whitley,,,,,Matthew Ornelas,Nicholas D'Amico,Northern CA - Sacramento Region,Lin and Johal Dental Corporation,87-3747123,8/1/2022,7/31/2022
211,Menifee 2,Menifee Smiles Dentistry,(951)679-4624,(951)679-2221,,"30406 Haun Rd, Ste 740",Menifee,Riverside,CA,92584,Lynette Santiago,,,Erica Stapleton,,Baraka Harper,,,,,Lionel Clayton,Maha Said-Shariff,South Inland Empire Region,Carolyn Ghazal and Minh Pham Dental Corporation,26-3668145,12/8/2008,7/13/2020
212,Oro Valley 2,Tangerine Dental Group,(520)544-5590,(520)297-3052,,"1880 E Tangerine Rd, Ste 190",Oro Valley,Pima,AZ,85755,Sandra Dessens,,,Racheal Stottern,,Jaycee Campbell,Jaycee Campbell,,,,Sam Barry,Stephanie Wootan,Southern Arizona Region,"Tangerine Dental Group, LLP",26-4273604,4/8/2009,10/5/2020
213,Prescott,Prescott Modern Dentistry,(928)777-8550,(928)443-0142,,1200 Gail Gardner Way,Prescott,Yavapai,AZ,86305,Katelyn Dugan,,,,Jason Merrill,Jaycee Campbell,Jaycee Campbell,,,,Vicky Dyck,Stephanie Wootan,North West Arizona Region,"Prescott Modern Dentistry, LLP",45-1023640,7/8/2011,2/1/2021
214,Castle Rock 2,Promenade Dentist Office,(720)805-2425,(720)891-4682,,"5715 Atrium Dr, Ste 130",Castle Rock,Douglas,CO,80108,Megan Powell,,,Marta Brocka,,Alisha Taylor,Caitlin Kenna,,Brandi Mortensen,,Stephanie Ross,Stephanie Wootan,Southern Colorado Region,"Promenade Dentist Office and Orthodontics, LLP",87-3688945,3/22/2022,3/21/2022
215,Surprise 2,Canyon Modern Dentistry,(623)546-8400,(623)214-5830,,"17081 W Greenway Rd, Ste 120",Surprise,Maricopa,AZ,85388,Anna Sohaei,,,Tracy Kaus,,Jaycee Campbell,Jaycee Campbell,,,,Vicky Dyck,Stephanie Wootan,North West Arizona Region,"Canyon Modern Dentistry, LLP",27-3920409,4/19/2011,10/5/2020
216,Goodyear,Goodyear Smiles Dentistry,(623)882-3636,(623)932-9041,,"781 S Cotton Ln, Ste 100",Goodyear,Maricopa,AZ,85338,Steffen Miner,,,Adrian Paredes,,Jaycee Campbell,Jaycee Campbell,,,,Vicky Dyck,Stephanie Wootan,North West Arizona Region,"Goodyear Smiles, LLP",26-3565050,11/4/2008,6/6/2022
217,Cottonwood,Cottonwood Modern Dentistry,(928)239-3254,(928)472-8001,,1061 S State Route 260,Cottonwood,Yavapai,AZ,86326,,,,Adrian Paredes,,Jaycee Campbell,Jaycee Campbell,,,,Vicky Dyck,Stephanie Wootan,North West Arizona Region,"Cottonwood Modern Dentistry, LLP",90-1020055,12/2/2013,11/1/2021
218,Redondo Beach 1,Beach City Dental Group,(310)376-5252,(310)376-5757,,"1509 Hawthorne Blvd, Ste 102",Redondo Beach,Los Angeles,CA,90278,,,,Sowo Varney,,Tina Nguyen,,,,,Kamaile Crowell,Maha Said-Shariff,South Los Angeles Region,Black and To Dental Corporation,45-4958578,5/22/2012,5/3/2021
219,Richmond 1,Dentists of Richmond,(832)431-4316,(832)476-0600,,"3415 FM 762, Ste 150",Richmond,Fort Bend,TX,77469,Maria Salinas Rivera,,,Ryan Means,,Kevin Rich,,,,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,DENTISTS OF RICHMOND PC,88-1858633,8/8/2022,8/7/2022
220,Natomas 3,Promenade Dental Group,(916)285-6691,(916)575-9783,,"3635 N Freeway Blvd, Ste 110",Sacramento,Sacramento,CA,95834,Mellisa Thacker,,,Christy Newton-Melson,,Melissa Whitley,,,,,Matthew Ornelas,Nicholas D'Amico,Northern CA - Sacramento Region,Gill Professional Dental Corporation,26-1379128,5/7/2008,5/3/2021
221,City of Industry,Walnut Smiles Dentistry,(909)595-0807,(909)598-3670,,"21750 Valley Blvd, Ste C",City of Industry,Los Angeles,CA,91789,Jonathan Guerrero,,,Jerry Meza,,Tina Nguyen,,,,,Alex Creelman,Maha Said-Shariff,Orange County Region,Pandhoh Dental Corporation,26-2283630,8/5/2008,6/6/2022
222,Scottsdale,Horizon Modern Dentistry,(480)860-4455,(480)860-5615,,"14858 N Frank Lloyd Wright Blvd, Ste 165A",Scottsdale,Maricopa,AZ,85260,,Kylie Ritchie,,Lewis Palmer,,,,,,,Mary Rossi,Stephanie Wootan,Eastern Arizona Region,"Horizon Modern Dentistry and Orthodontics, LLP",27-3091625,10/12/2010,2/7/2022
223,Rancho Cucamonga 3,Monet Dental Group,(909)646-3057,(909)899-6413,,"12455 Victoria Gardens Ln, Ste 190",Rancho Cucamonga,San Bernardino,CA,91739,Toni Castillo,,Toni Castillo,,Linda Mata-Icart,,,,,,Erin Ortega,Maha Said-Shariff,North Inland Empire Region,Hsieh and Chung Dental Corporation,26-0867494,12/28/2007,4/1/2020
224,Casa Grande,Promenade Smiles Dentistry,(520)426-3639,(520)836-7208,,808 N Mission Pkwy,Casa Grande,Pinal,AZ,85194,Faith Brandt,,Laurissa Castillo,Heather Mata,,,,,,,Mary Rossi,Stephanie Wootan,Eastern Arizona Region,"Promenade Smiles, LLP",26-4380157,5/5/2009,7/11/2022
225,Hesperia 3,High Desert Smiles Dentistry,(760)947-9853,(760)956-7813,,"12821 Main St, Ste 150",Hesperia,San Bernardino,CA,92345,Xavier Jackson,,,Jessica Quintero,,,,,,,Erin Ortega,Maha Said-Shariff,North Inland Empire Region,Ritesh Kumar Dental Corporation,26-3710603,11/18/2008,5/3/2021
226,Tramonto,Tramonto Dental Group,(623)879-9503,(623)587-6453,(623)587-4981,"35004 N. N Valley Pkwy, Ste 110",Phoenix,Maricopa,AZ,85086,Beniamin Ioanca,,,,Jason Merrill,Jaycee Campbell,Jaycee Campbell,,,,Vicky Dyck,Stephanie Wootan,North West Arizona Region,"Tramonto Dental Group, LLP",26-1955583,4/21/2008,6/6/2022
227,Alamo,Alamo Smiles Dental Group,(925)820-2688,(925)362-0623,,"3000 Danville Blvd, Ste A & B",Alamo,Contra Costa,CA,94507,Ashley Prickett,,,Jessica Rubio,,Robert Bengtson,,,,,Toreano Norris,Nicholas D'Amico,Northern CA - Bay Area Region,Dhaval Patel Dental Corporation,46-3831031,12/10/2013,5/3/2021
228,West Sacramento,South River Dental Group,(916)372-8062,(916)371-1863,,"2455 Jefferson Blvd, Ste 130",West Sacramento,Yolo,CA,95691,Sherrie Wallace,,,Tania Ruiz,,Melissa Whitley,,,,,Matthew Ornelas,Nicholas D'Amico,Northern CA - Sacramento Region,Bautista and Gill Dental Corporation,26-3362928,11/18/2008,2/7/2022
229,Palmdale 2,Gateway Dental Group,(661)236-0046,(661)285-1978,,"38209 47th St E, Ste E",Palmdale,Los Angeles,CA,93552,,Michelle Peevy,,Rebecca Stogden,,Haila El-Kerdi,,,,,Dan Rodriguez,Maha Said-Shariff,North Los Angeles Region,Yasmin Easley Dental Corporation,26-3363237,11/19/2008,4/4/2022
230,Hacienda Heights,Tri-City Smiles Dentistry,(626)581-7878,(626)581-7877,,"17160 Colima Rd, Ste C",Hacienda Heights,Los Angeles,CA,91745,Claudia Moreno,Claudia Moreno,,Vanessa Bradley,,Tina Nguyen,,,,,Alex Creelman,Maha Said-Shariff,Orange County Region,Shetty Dental Corporation,26-1859246,2/1/2008,7/11/2022
231,Pleasant Hill,Pleasant Hill Smiles Dentistry,(925)363-4455,(925)363-4571,,"2380 Monument Blvd, Ste F",Pleasant Hill,Contra Costa,CA,94523,Alexandra Avila,,,Jessica Rubio,,Robert Bengtson,,,,,Toreano Norris,Nicholas D'Amico,Northern CA - Bay Area Region,Alubaidi Dental Corporation,45-1148679,8/19/2011,5/3/2021
232,Santee 2,Santee Town Center Dental Group,(619)312-6006,(619)448-2679,,246 Town Center Pkwy,Santee,San Diego,CA,92071,,Nicole Messina,,Matthew Rich,,Matthew McCurley,,,,,Michael Butler,Maha Said-Shariff,San Diego Region,Jadali-Araghi and Nosti Dental Corporation,26-1928752,3/4/2008,6/6/2022
233,Tucson 3,Sabino Smiles Dentistry,(520)318-4455,(520)284-5850,(520)440-6002,"7111 E Tanque Verde Rd, Ste 107",Tucson,Pima,AZ,85715,Megan Kelsey,,,Nicole Hays,,,,,,,Sam Barry,Stephanie Wootan,Southern Arizona Region,"Sabino Smiles and Orthodontics, LLP",27-2954855,4/25/2011,11/2/2020
234,Maricopa 1,Maricopa Smiles Dentistry,(520)568-2800,(520)568-3087,,"41620 W Maricopa Casa-Grande Hwy, Ste 110",Maricopa,Pinal,AZ,85138,Claudia Uzeda,,,Tia Noreus,,,,,,,Mary Rossi,Stephanie Wootan,Eastern Arizona Region,"Maricopa Smiles Dentistry and Orthodontics, LLP",37-1707047,1/8/2013,2/1/2021
235,Phoenix 4,Norterra Dental Group,(623)581-7031,(623)582-3794,,"2217 W Happy Valley Rd, Ste 100",Phoenix,Maricopa,AZ,85085,Ashley Acosta,,,,Jason Merrill,Jaycee Campbell,Jaycee Campbell,,,,Vicky Dyck,Stephanie Wootan,North West Arizona Region,"Norterra Dental Group and Orthodontics, LLP",27-0260115,7/14/2009,10/5/2020
236,Phoenix 6,Foothills Smiles Dentistry,(480)755-4455,(480)893-7535,,4717 E Ray Rd,Phoenix,Maricopa,AZ,85044,Falon Breazeale,,Falon Breazeale,Tia Noreus,,Jaycee Campbell,Jaycee Campbell,,,,Mary Rossi,Stephanie Wootan,Eastern Arizona Region,"Foothills Smiles, LLP",27-2954762,2/28/2011,7/11/2022
237,North Las Vegas 1,Deer Springs Modern Dentistry,(702)399-3800,(702)399-3801,,"640 E Deer Springs Way, Ste 180",North Las Vegas,Clark,NV,89086,Winston Figueroa Rodas,,,Amber Breeze,,Mechelle Quinories,Nichelle Venable,Tiffany Magana,,,Catherine Wild,Maha Said-Shariff,North Las Vegas Region,"Lee Deer Springs Modern Dentistry, PC",46-1193475,12/17/2012,4/4/2022
238,Henderson 3,Henderson Modern Dentistry,(702)464-3090,(702)464-3158,,"366 W Lake Mead Pkwy, Ste 100",Henderson,Clark,NV,89015,Kayce Sweden,,,Mounu Nakayama,,Mechelle Quinories,Nichelle Venable,Tiffany Magana,,,Catherine Wild,Maha Said-Shariff,South Las Vegas Region,"Mugleston Henderson Modern Dentistry, PC",45-4612311,6/25/2012,7/6/2021
239,Clovis,Clovis Crossing Dental Group,(559)326-5272,(559)326-5271,,"1095 Herndon Ave, Ste 102",Clovis,Fresno,CA,93612,Melissa Ramos,,Kristen Kennett,Nicole McGovran,,Robert Bengtson,,,,,Toreano Norris,Nicholas D'Amico,Northern CA - Central Valley Region,Kunal Sood Dental Corporation,46-4943007,5/16/2014,2/7/2022
240,Clairemont,Clairemont Smiles Dentistry,(858)268-0110,(858)268-0210,,5675 Balboa Ave,San Diego,San Diego,CA,92111,,Mary De Anda,,Heather Dickerhoff,,Matthew McCurley,,,,,Michael Butler,Maha Said-Shariff,San Diego Region,Minh Pham and Steven Alvarado Dental Corporation,46-2598071,6/1/2013,1/10/2022
241,Monrovia,Monrovia Modern Dentistry,(626)358-3636,(626)358-1702,,460 W Huntington Dr,Monrovia,Los Angeles,CA,91016,Natalie Rodriguez,,,,Katherine Novales,Haila El-Kerdi,,,,,Dan Rodriguez,Maha Said-Shariff,North Los Angeles Region,Bhatia and Shetty Dental Corporation,45-2957650,11/14/2011,7/6/2021
242,Peoria 3,Arrowhead Dental Group,(623)878-5400,(623)878-6467,,"8085 W Bell Rd, Ste 103",Peoria,Maricopa,AZ,85382,Ceinna King,,,,Jason Merrill,Jaycee Campbell,Jaycee Campbell,,,,Vicky Dyck,Stephanie Wootan,North West Arizona Region,"Arrowhead Dental Group and Orthodontics, LLP",26-4547987,4/7/2009,7/6/2021
243,Carlsbad,Gateway Dental Group,(760)431-8112,(760)929-8776,(760)929-8591,"2635 Gateway Rd, Ste 101",Carlsbad,San Diego,CA,92009,Steven Pierce,Stephanie Mirasola,,Heather Dickerhoff,,Matthew McCurley,,,,,Michael Butler,Maha Said-Shariff,San Diego Region,Clinton Park Dental Corporation,26-4060984,6/8/2009,7/11/2022
244,Rocklin 2,Rocklin Modern Dentistry,(916)660-9487,(916)660-9493,,"5182 Commons Dr, Ste 101",Rocklin,Placer,CA,95677,Debbie Day,,,Matthew Kiley,,Melissa Whitley,,,,,Matthew Ornelas,Nicholas D'Amico,Northern CA - Sacramento Region,Ricky V. Tran Dental Corporation,47-2117362,1/20/2015,12/7/2020
245,Auburn,Sierra Smiles Dentistry,(530)823-3803,(530)885-3682,,2503 Bell Rd,Auburn,Placer,CA,95603,,Yer Thao,,Matthew Kiley,,Melissa Whitley,,,,,Matthew Ornelas,Nicholas D'Amico,Northern CA - Sacramento Region,Wadhwa Dental Corporation,26-4612750,7/23/2009,7/6/2021
246,Tucson 2,Rita Ranch Dental Group,(520)663-4089,(520)664-9930,(888)461-6258,"8160 S Houghton Rd, Ste 130",Tucson,Pima,AZ,85747,Michael Solomon,,,Nicole Hays,,Jaycee Campbell,Jaycee Campbell,,,,Sam Barry,Stephanie Wootan,Southern Arizona Region,"Rita Ranch Dental Group, LLP",27-0263596,7/8/2009,4/4/2022
247,Woodland,Woodland Smiles Dentistry,(530)662-7592,(530)668-6526,,"2041 Bronze Star Dr, Ste 100",Woodland,Yolo,CA,95776,Victoria Lew,,Tony Camacho,Christy Newton-Melson,,Melissa Whitley,,,,,Matthew Ornelas,Nicholas D'Amico,Northern CA - Sacramento Region,Gill and Macchiarella Dental Corporation,27-1713054,2/23/2010,5/2/2022
248,Mesa,Canyon Lakes Dental Group,(480)964-1560,(480)325-1229,,"2025 N Power Rd, #101",Mesa,Maricopa,AZ,85215,Debbie Bond,,,Tia Noreus,,Jaycee Campbell,Jaycee Campbell,,,,Mary Rossi,Stephanie Wootan,Eastern Arizona Region,"Canyon Lakes Dental Group and Orthodontics, LLP",27-1442346,1/19/2010,6/6/2022
249,Phoenix 5,Canyon Vista Dentistry,(623)561-6767,(623)561-1703,,"25155 N 67th Ave, Ste 142",Phoenix,Maricopa,AZ,85083,Gemma Lebario,,,,Jason Merrill,Jaycee Campbell,Jaycee Campbell,,,,Vicky Dyck,Stephanie Wootan,North West Arizona Region,"Canyon Vista Dentistry and Orthodontics, LLP",27-1992601,5/7/2010,2/7/2022
250,Tierrasanta 2,Stonecrest Dental Group,(858)694-0790,(858)300-6527,,"3737 Murphy Canyon Rd, Ste C-2",San Diego,San Diego,CA,92123,Faith Middleton,,,Bianca Ireland,,Matthew McCurley,,,,,Michael Butler,Maha Said-Shariff,San Diego Region,Patel and Habashi Dental Corporation,27-1521664,3/12/2010,7/11/2022
251,Escondido 2,Escondido Smiles Dentistry,(760)745-1585,(760)745-1587,(760)884-8050,"860 W Valley Pkwy, Ste 100",Escondido,San Diego,CA,92025,,Nadyne Gomez,,Kevin Skinner,,Matthew McCurley,,,,,Michael Butler,Maha Said-Shariff,San Diego Region,Bocash and Nosti Dental Corporation,27-0837949,3/29/2010,7/11/2022
252,Tracy,Tracy Smiles Dentistry,(209)836-5441,(209)836-5453,,"2600 S Tracy Blvd, Ste 170",Tracy,San Joaquin,CA,95376,"Ana Lucilla ""Lucy"" Renderos",,,Nicole McGovran,,Robert Bengtson,,,,,Toreano Norris,Nicholas D'Amico,Northern CA - Bay Area Region,Entabi Dental Corporation,27-2554720,8/10/2010,11/1/2021
253,Sacramento 1,Arden Modern Dentistry,(916)437-0157,(916)437-0185,,"2654 Marconi Ave, Ste 100",Sacramento,Sacramento,CA,95821,,,,Kimberly Robinson,,Melissa Whitley,,,,,Matthew Ornelas,Nicholas D'Amico,Northern CA - Sacramento Region,Dinea-Berci Dental Corporation,47-2667783,3/11/2015,5/3/2021
254,Lakewood CA,Candlewood Smiles Dentistry,(562)634-5042,(562)634-5850,,4443 Candlewood St,Lakewood,Los Angeles,CA,90712,Ricardo Placensia,,,Diana Vales,,Tina Nguyen,,,,,Kamaile Crowell,Maha Said-Shariff,South Los Angeles Region,Bach Nguyen Dental Corporation,27-3780007,12/14/2010,4/4/2022
255,RSD,RSD Dental Group,(619)660-2424,(619)660-9335,,"2907 Jamacha Rd, Ste B",El Cajon,San Diego,CA,92019,Gemaline Nodalo,,,Katie Bezler,,Matthew McCurley,,,,,Michael Butler,Maha Said-Shariff,San Diego Region,Cheryl Tran Dental Corporation,27-3506491,2/1/2011,6/6/2022
256,Marana,Cortaro Smiles Dentistry,(520)744-2233,(520)744-5872,(520)205-1583,"8250 N Cortaro Rd, Ste 110",Tucson,Pima,AZ,85743,Amanda Keltner,,,Racheal Stottern,,,,,,,Sam Barry,Stephanie Wootan,Southern Arizona Region,"Cortaro Smiles and Orthodontics, LLP",27-2954539,10/26/2010,2/7/2022
257,Tempe,Tempe Modern Dentistry,(480)345-4017,(480)345-3526,,"1835 E Guadalupe Rd, Ste C-107",Tempe,Maricopa,AZ,85283,Tori Brooks,,Tori Brooks,Kayla Martinez,,,,,,,Mary Rossi,Stephanie Wootan,Eastern Arizona Region,"Tempe Modern Dentistry, LLP",27-2954958,3/1/2011,4/4/2022
258,Laveen,Laveen Modern Dentistry,(602)237-0613,(602)237-0365,(617)620-1878,"5045 W Baseline Rd, Ste 135",Laveen,Maricopa,AZ,85339,Itzel Espinoza,,,Adrian Paredes,,,,,,,Vicky Dyck,Stephanie Wootan,North West Arizona Region,"Laveen Modern Dentistry, LLP",27-3546050,12/6/2010,10/5/2020
259,Brea,Brea Dentists,(714)990-2299,(714)990-5193,,"2500 E Imperial Hwy, Ste 120",Brea,Orange,CA,92821,Noemi Santillan,,,Megan Detrick,,Tina Nguyen,,,,,Alex Creelman,Maha Said-Shariff,Orange County Region,Gaffino and Reagan Dental Corporation,45-2827534,1/23/2012,5/3/2021
260,Tucson 4 EKD,Every Kid's Dentist,(520)885-5431,(520)885-3264,,"9565 E 22nd St, Ste 143",Tucson,Pima,AZ,85748,Arielle Menuey,,,Kaley Getz,,Jaycee Campbell,Jaycee Campbell,,,,Sam Barry,Stephanie Wootan,Southern Arizona Region,"Spanish Trail Pediatric Dental Partners, LLP",45-3416118,11/1/2011,6/6/2022
261,Buckeye 2 EKD,Every Kid's Dentist,(623)386-5430,(623)386-5524,,"675 S Watson Rd, Ste 106",Buckeye,Maricopa,AZ,85326,Jessica Ramirez,,,Kaley Getz,,Jaycee Campbell,Jaycee Campbell,,,,Vicky Dyck,Stephanie Wootan,North West Arizona Region,"Buckeye Pediatric Partners and Orthodontics, LLP",45-3146655,11/17/2011,5/2/2022
262,Mesa 2,Mesa Modern Dentistry,(480)926-2350,(480)926-2366,,"3440 E Baseline Rd, Ste 106",Mesa,Maricopa,AZ,85204,Tiffany Amistoso,,,Tia Noreus,,Jaycee Campbell,,,,,Mary Rossi,Stephanie Wootan,Eastern Arizona Region,Mesa Modern Dentistry. LLP,36-4715668,1/6/2012,10/5/2020
263,Bakersfield 3,Gosford Village Dental Group,(661)588-2065,(661)829-0743,,"5353 Gosford Rd, Ste 103",Bakersfield,Kern,CA,93313,,,,Paula Smith,,Haila El-Kerdi,,,,,Dan Rodriguez,Maha Said-Shariff,North Los Angeles Region,Shah and Jefferson Dental Corporation,46-0806818,12/4/2012,4/4/2022
264,Hesperia 4,My Kid's Dentist,(760)947-5435,(760)949-2459,,"12821 Main St, Ste 120",Hesperia,San Bernardino,CA,92345,Xavier Jackson,Xavier Jackson,,Jessica Quintero,,,,,,,Erin Ortega,Maha Said-Shariff,North Inland Empire Region,Dental Corporation of Ritesh Kumar,45-3010276,9/6/2011,6/6/2022
265,Yorba Linda 2,Yorba Linda Smiles Dentistry,(714)854-9920,(714)854-9915,,16691 Yorba Linda Blvd,Yorba Linda,Orange,CA,92886,Bea Gomez,Bea Gomez,,Lani Holt,,Tina Nguyen,,,,,Alex Creelman,Maha Said-Shariff,Orange County Region,Nam Dang Dental Corporation,45-2570626,7/1/2011,1/10/2022
266,Queen Creek 3,Skyline Dental Group,(480)882-3119,(480)882-3129,(877)539-5718,"1714 W Hunt Hwy, Ste 100",Queen Creek,Pinal,AZ,85143,Chandlar Franzen,,Chandlar Franzen,Heather Mata,,,,,,,Mary Rossi,Stephanie Wootan,Eastern Arizona Region,"Skyline Dental Group and Orthodontics, LLP",90-0857847,7/5/2012,4/4/2022
267,Gilbert 4,Gilbert Modern Dentistry,(480)457-8283,(480)457-8114,(480)731-2872,"6466 S Higley Rd, Ste 101",Gilbert,Maricopa,AZ,85298,Sedona Kolzow,,,Tia Noreus,,,,,,,Mary Rossi,Stephanie Wootan,Eastern Arizona Region,"Gilbert Modern Dentistry and Orthodontics, LLP",90-0986344,7/9/2013,11/2/2020
268,Scottsdale 2,Scottsdale Modern Dentistry,(480)941-3907,(480)941-3915,,10260 N 90th St,Scottsdale,Maricopa,AZ,85258,Magdalena Alvarez,,,Lewis Palmer,,Jaycee Campbell,Jaycee Campbell,,,,Mary Rossi,Stephanie Wootan,Eastern Arizona Region,"Scottsdale Modern Dentistry and Orthodontics, LLP",35-2446188,9/14/2012,10/5/2020
269,Davis 1,Davis Smiles Dentistry,(530)750-1955,(530)750-1959,,"4515 Fermi Pl, Ste 106",Davis,Yolo,CA,95618,Nikole Harris,,,Christy Newton-Melson,,Melissa Whitley,,,,,Matthew Ornelas,Nicholas D'Amico,Northern CA - Sacramento Region,Sergio Vicuna Dental Corporation,46-3785551,12/27/2013,5/3/2021
270,Mission Valley 1,Mission Valley Dentists,(619)220-0159,(619)220-0162,,"5638 Mission Center Rd, Ste 107",San Diego,San Diego,CA,92108,Christina Pacheco,,,Jennifer Johnson,,Matthew McCurley,,,,,Michael Butler,Maha Said-Shariff,San Diego Region,Ariannejad Dental Corporation,61-1683164,8/28/2012,6/6/2022
271,Bakersfield 4,Stockdale Smiles Dentistry,(661)665-0080,(661)665-0200,,"11120 Stockdale Hwy, Ste 103",Bakersfield,Kern,CA,93311,Giovani Chocoteco,,,Paula Smith,,Haila El-Kerdi,,,,,Dan Rodriguez,Maha Said-Shariff,North Los Angeles Region,"Phi C. Huynh, D.M.D., Inc.",46-2598272,6/4/2013,4/4/2022
272,Seal Beach (Rossmoor),Rossmoor Dental Group,(562)431-0393,(562)431-0484,,12419 Seal Beach Blvd,Seal Beach,Orange,CA,90740,Karina Garcia,,,Diana Vales,,Tina Nguyen,,,,,Kamaile Crowell,Maha Said-Shariff,South Los Angeles Region,Bach Xuan Nguyen Dental Corporation,46-3718652,1/6/2014,2/7/2022
273,San Marcos 2,Las Posas Dental Practice,(760)736-4247,(760)736-8261,,"145 S Las Posas Rd, Ste 162",San Marcos,San Diego,CA,92078,Claudia Guerrero,,,Heather Dickerhoff,,Matthew McCurley,,,,,Michael Butler,Maha Said-Shariff,San Diego Region,Tran and Nosti Dental Corporation,45-5328801,11/6/2012,1/10/2022
274,Chula Vista 2,Canyon Vista Dental Group,(619)421-8474,(619)421-4268,,700 Otay Lakes Rd,Chula Vista,San Diego,CA,91910,Christian Delgado,,Christian Delgado,Katie Bezler,,Matthew McCurley,,,,,Michael Butler,Maha Said-Shariff,San Diego Region,Sonal Singh Dental Corporation,45-5630145,10/23/2012,6/6/2022
275,Livermore 1,Livermore Smiles Dentistry,(925)294-9288,(925)294-9519,,4375 1st St,Livermore,Alameda,CA,94551,Klaudia Freitas,,Lauren Kuks,Jessica Rubio,,Robert Bengtson,,,,,Toreano Norris,Nicholas D'Amico,Northern CA - Bay Area Region,Lopez and Lambridis Dental Corporation,46-1281187,1/15/2013,2/7/2022
276,Harbor City,Harbor City Modern Dentistry,(310)539-3245,(310)523-1600,,962 Sepulveda Blvd,Harbor City,Los Angeles,CA,90710,Shannon Montalvan,,,Ruth Hillman,,Tina Nguyen,,,,,Kamaile Crowell,Maha Said-Shariff,South Los Angeles Region,Minhyung Ji Dental Corporation,61-1933806,11/19/2019,6/6/2022
277,Tucson 5,Oracle Modern Dentistry,(520)887-2000,(520)887-2005,,"4386 N Oracle Rd, Ste 198",Tucson,Pima,AZ,85705,Angela Acedo,,,Nicole Hays,,Jaycee Campbell,Jaycee Campbell,,,,Sam Barry,Stephanie Wootan,Southern Arizona Region,"Oracle Modern Dentistry and Orthodontics, LLP",36-4746344,1/8/2013,10/5/2020
278,Chandler 2,Chandler Modern Dentistry,(480)792-1543,(480)792-1544,,"2875 W Ray Rd, Ste 16",Chandler,Maricopa,AZ,85224,Rayne Mendoza,,,Tia Noreus,,,,,,,Mary Rossi,Stephanie Wootan,Eastern Arizona Region,"Chandler Modern Dentistry and Orthodontics, LLP",61-1711705,7/2/2013,10/5/2020
279,Tucson 6,Broadway Smiles Dentistry,(520)750-1000,(520)750-1001,,"5545 E Broadway Blvd, Ste 107",Tucson,Pima,AZ,85711,Dora Abril,,,Nicole Hays,,,,,,,Sam Barry,Stephanie Wootan,Southern Arizona Region,"Broadway Smiles Dentistry and Orthodontics, LLP",80-0906826,5/7/2013,2/7/2022
280,Pleasanton 1,Pleasanton Ridge Dental Group,(925)461-3100,(925)461-3110,(341)587-3500,"6766 Bernal Ave, Ste 560",Pleasanton,Alameda,CA,94566,Amanda Rodriguez,,,Dallin Caldwell,,Robert Bengtson,,,,,Toreano Norris,Nicholas D'Amico,Northern CA - Bay Area Region,Ahmad Mokbil and Amardeep Gill Dental Corporation,46-1122636,12/11/2012,3/1/2021
281,Hermosa Beach 1,Hermosa Smiles Dentistry,(310)372-7686,(310)372-7692,,"1559 Pacific Coast Hwy, Ste 101",Hermosa Beach,Los Angeles,CA,90254,Benjamin Wong,,,Sowo Varney,,Tina Nguyen,,,,,Kamaile Crowell,Maha Said-Shariff,South Los Angeles Region,Oates and Jefferson Dental Corporation,46-2769812,8/6/2013,4/4/2022
282,Torrance 1,PCH Smiles Dentistry,(310)534-3002,(310)534-3017,,2740 Pacific Coast Hwy,Torrance,Los Angeles,CA,90505,Dominique Wallace,,,Sowo Varney,,Tina Nguyen,,,,,Kamaile Crowell,Maha Said-Shariff,South Los Angeles Region,Jefferson and Kim Dental Corporation,46-1122798,2/1/2013,6/6/2022
283,Huntington Beach 3,Huntington Beach Modern Dentistry,(714)536-2383,(714)536-3694,,16071 Goldenwest St,Huntington Beach,Orange,CA,92647,,,,Jerry Meza,,Tina Nguyen,,,,,Alex Creelman,Maha Said-Shariff,Orange County Region,Smith and Sharifian Dental Corporation,46-5271971,6/4/2014,7/6/2021
